id,type,name,x,y,score
10673,공원,포이근린공원,127.036037,37.479681,0.0
10680,공원,동작주차공원,126.977294,37.503828,0.0
10681,공원,우면공원,127.016442,37.465212,0.0
10705,공원,태봉공원,127.016712,37.466158,0.0
10707,공원,섬들공원,127.016743,37.466518,0.0
10755,공원,서초종합체육공원,127.04238,37.45859,0.0
10759,공원,양  재공원,127.042385,37.471543,0.0
10760,공원,한솔근린공원,127.069411,37.480936,0.0
10890,공원,망루공원,127.016712,37.466518,0.0
10908,공원,방배공원,126.996443,37.476268,0.0
10910,공원,도구머리공원,126.988317,37.479508,0.0
10914,공원,서리풀공원,126.985735,37.472561,0.0
10921,공원,압구정 428공원,127.021936,37.527425,0.0
10923,공원,도곡근린공원,127.041861,37.48963705,0.0
10940,공원,바우뫼공원,127.034344,37.474627,0.0
10949,공원,양재천공원,127.035223,37.478025,0.0
10950,공원,현충공원,126.9757312,37.48538566,0.0
10971,공원,송동공원,127.016714,37.468618,0.0
10986,공원,독골근린공원,127.0468249,37.484552,0.0
