id,type,name,x,y,score
99,아파트,잠원동 한신타운,127.01147,37.50951,0.0
100,아파트,우면동 코오롱,127.027654,37.472577,0.0
101,아파트,우면동 우면한라,127.025664,37.471696,0.0
102,아파트,잠원동 반포한신타워,127.00606,37.51098,0.0
103,아파트,서초동 서초e-편한세상1차,127.006941,37.481181,0.0
104,아파트,잠원동 킴스빌리지,127.00647,37.510812,0.0
105,아파트,서초동 서초리시온,127.01552,37.49346,0.0
106,아파트,잠원동 롯데캐슬갤럭시1차,127.016502,37.520366,0.0
107,아파트,서초동 서초롯데캐슬리버티,127.01673,37.48748,0.0
108,아파트,서초동 현대ESA,127.029439,37.490982,0.0
109,아파트,잠원동 신화,127.013735,37.515721,0.0
110,아파트,잠원동 금호베스트빌,127.014155,37.514715,0.0
111,아파트,서초동 삼성서초가든스위트,127.02585,37.494845,0.0
112,아파트,우면동 서초네이처힐7단지,127.023282,37.461908,0.0
113,아파트,잠원동 신반포27차,127.009682,37.515948,0.0
114,아파트,서초동 서초현대4차,127.017344,37.500145,0.0
115,아파트,서초동 현대성우,127.024443,37.498107,0.0
116,아파트,서초동 서초대우디오빌프라임,127.030121,37.4916,0.0
117,아파트,신원동 힐스테이트서초젠트리스,127.057657,37.456285,0.0
118,아파트,서초동 서초삼성래미안,127.019471,37.493179,0.0
119,아파트,반포동 반포푸르지오,126.995819,37.503757,0.0
120,아파트,서초동 서초트라팰리스,127.028329,37.486801,0.0
121,아파트,방배동 방배아크로타워,126.995144,37.483208,0.0
122,아파트,잠원동 잠원중앙하이츠(B동),127.004806,37.51006,0.0
123,아파트,방배동 방배아크로리버,126.984444,37.497695,0.0
124,아파트,방배동 방배e-편한세상3차,126.991489,37.494386,0.0
125,아파트,서초동 신동아2차,127.026042,37.490504,0.0
126,아파트,서초동 서초자이,127.020109,37.484985,0.0
127,아파트,서초동 강남역푸르지오시티(도시형),127.028989,37.49169,0.0
128,아파트,반포동 현대동궁,127.001891,37.500412,0.0
129,아파트,방배동 삼호한숲,126.998746,37.477643,0.0
130,아파트,서초동 동원베네스트,127.026641,37.485282,0.0
131,아파트,반포동 신반포궁전,127.000569,37.500365,0.0
